id	document	label
1	분석 답없다 나오 서양 남자 한국 남자	1
2	여자 왕 여자 애낳기 고생 일본 한국 중국 여자 우월 유교문화 국 남자 사는게 곳 없다 사람 교육비 여자 유교문화 시키 남자 여자 없다 자존심 상하 옛날 없다 없다 있다 여자 허용 없다 돈벌기 깨지 결혼 비교 없다 비교 비교	2
3	혼인 건수 이혼 건수 여자 시절 사랑 키 남친 떠나 키 남자 오 결혼 맛 한국 남자 얼굴 키 작 결혼 마음	3
4	최저시급 인금 가족 있다 국가 출산 상승 종결 우리나라 남자 잠재 범죄자 국가 결혼 생각	4
5	결혼 남자 손해 즐겁	5
6	미혼 돈벌기 때문에 집 때문에 애낳기 생각 결혼 경험 돈벌기 때문에 애낳기 같은 사유 여자 사회 참여 같은 요새 대다수 부부 맞벌이 나라 맞벌이 애낳기 키우기 가능 나라 당장 임산부 이내 유산 위험 시기 사회 인식 자체 부족 임산부 직장 얘기 배려 받는 자체 배 짜증 동료 상사 비교 때문에 비교 일 유산 경우 주위 법 임산부 초기 휴가 업무 시간 조절 회사 많이 의문 남자 여자 가사노동 좋은 부부 경우 여자 임산부 시간 수입 경우 많이 쓸데없 비교 금전 출산 후 여자 경제 공백기 지원 제도 마련 생각 임산부 기간 보내 출산 후 나라 답없다 없다 직장 어린이집 같은 있다 회사 있다 맞벌이 집안 키우기 자체 가능 결국 은퇴 부모 맡기 경우 많이 서로 죽다 맛 과거 남자 돈벌기 여자 전업 살림 애낳기 애보 유교문화 많이 여자 사회 참여 맞벌이 맞벌이 경우 임산부 출산 육아 답없다 없다 사회 제도 인식 수준 일 일대 도태 애대 상황 애낳기 기피	6
7	교육비 집 문제 이유 남자 여자 눈 높은 현상 직장 취업 혼자 생활 최적 시스템 등등 누나 아들 국가 혜택 사실 없다 택 조사 사람 애낳기	7
8	일 일론머스크 아시아 출산 우울 소국 노예 줄다 노동 산품 메이드 차이 머리 생각 외국인 끌 와 혼종 만들어야 애낳기 한국 남자 애낳기 한국 여자 애낳기 우울	8
9	한국 여자 고통 젊은세대 나이 보통 남자 여자 이상 높은 세계 평균 한국 여자 남자 높은 여자 살리 얘기	9
10	같은 듣 처벌 법 바꾸 공정 처벌 나라 꼬라지 지랄 세금 쳐먹 일 없다 법 남녀갈등 문제 공정 잃 무적 여자 유리 판결 표 빨아먹 세금 쳐먹 구녕 빨 병역의무 남자 지 혜택 쳐먹 꼴 남녀갈등 맘 충 창 아가리 뱉 똥 받는 쳐먹 정상인 듣 설거지 버러지	10
11	남녀갈등 채용 때문에 생각 예전 여자 취업 시집 취업 남자 혼자 살만 결혼 생각 남자 취업 가정 확 높은 여자 취업 미 혼직 딩 집값 쥐 펴 임대업 때려잡 집값 반 토막 이상 정당 나오 정당 갈	11
12	아이러니 출산 여자 제도 개선 여자 경력단절 고치 아빠 육아 육아휴직 늘리 이상 결국 여자 남자 편하 용도 쓰이 여자 개선 사회 법 제도 없다	12
13	남자 경제 기대 문화 한몫	13
14	매스컴 느끼 문제 해결 논의 없다 매스컴 소개 해결 방법 육아 보육 관련 복지 남자 가사노동 분담 올리 제도 교육비 조치 이민 받는 종교 장려 종교 비율 주거 비용 문제 해결 사교육 금지 공교육 제도 변화 맞벌이 외 출산 늘리 동거 인법 개정 인식 개선 홍보 정도 일 일론머스크 장담 결국	14
15	노동 업무 프로 남자	15
16	독박육아 육아 독박육아 벌이 문제 애낳기 부인 경제 활동 집 쉬 사람 많이 미혼 남자 결혼 기피 결혼 순간 혼자 식구 예전 외벌 가능 집값 생활비 비싸 맞벌이 필수	16
17	해외 남자 여자 준수 기여 조건 유급 출산 휴가 남자 직장 양육 휴가 제도 생겨나 기반 사회 인식 있다 근로 기준 법 일맥상통 소득 있다 기본 생활 가능 수준 보장 나라 분위기 추진 여론 죽다 소리 사람 사회주의 드립 치 인간 어림 없다 같은 시스템 자리 잡 저녁 있다 삶 노동 시간 감소 의미 기존 사람 갈 넣 한국인 그동안 편리 빠르 유교문화 친절 서비스 제공 접근 정도 희생 뜻 한국 느리 세대교체 더불 개인 웰빙 중시 분위기 스며들 분위기 조금 느낌 받는 옛날 고질 문제 아시아 민족 특유 자본 남과 비교 비교 과 몰입 스스로 불행 가난 만드 인생관 생각 결혼 있다 걸림돌 공통 과밀 인구 사는게 비교 비교 자존 대로	17
18	독박육아 육아 남자 독박육아 노동	18
19	남자 이쁘 여자 남자 이쁘 여자 남자 여자 여자 부자 남자 여자 부자 남자 여자 남자	19
20	가사노동 없다 남자 없다 현실 여자 일반 남자 돈벌기 버 결혼 은퇴 비교 결혼 쉽	20
21	같은 여자 닥달 애낳기 여자 죄책감 희생 갖 급하 남자 애낳기 과학 가능	21
22	여자 낙태 사람 죄 남편 임산부 여자 폭행 유산 남편 솜방망이 처벌 나라 젊은세대 여자 사랑 남자 통보 이유 당하 나라 취업 시 결혼 계획 출산 계획 노골 물 불편 회사 있다 나라 여자 애낳기 사랑 사람 만나 결혼 행복 사는게 자식 애낳기 생각 나라 상황 인류애 자식 겪 미래 자식 배려 애낳기	22
23	근본 원인 정서 문제 생각 안 전체주의 사고방식 비교 비교 의식 여자 인권 신장 가정 화목 교육비 부족 개인주의 근본 문제 사회 시스템 다음 문제 문제 원인 비교 문제 없다 사회 시스템 문제 이야기 문제 해결 전체주의 비교 비교 의식 원인 생각 서양 발전 서양 출산 높은 이유 생각 수도권집중 수도권집중 저층 빌라 아파트 있다 남자 여자 결혼 있다 돈벌기 신축 아파트 들어가 원하 비교 비교 의식 있다 전체주의 사고 있다 생각 사회 초년생 신혼 부부 신축 아파트 신형 차 타 다니 현실 이상 점 지적 집값 비싸 투덜대 비교 상황 최선 키우기 비교 좋은 가정 이루 남과 비교 때문에 문제 사회 시스템 문제 이야기 서양 사회 시스템 부족 근본 문제 정서 때문에 과거 부모 젊은세대 단칸방 신혼집 차리 사는게 그때 계층 사회 구조 존재 그때 지금 비교 비교 생각 이유 인터넷 미디어 일수 있다 여자 인권 신장 여자 인권 세계 올라가 추세 선진국 대부분 과거 출산 없다 현실 대신 아시아 여자 출산 생물학 불리 있다 저출산 영향 생각 더불 여자 개인 성향 없다 현상 넘어가 가정 화목 교육비 부족 가정 화목 교육비 부족 교육비 시절 삶 교육비 국영 집주 교육비 중요 교육비 셈 서양 교육비 학습 위주 교육비 가정 안 교육비 그렇 인주 여자 인권 없다 세계 추세 대안 저출산 고통 전체주의 사고 비교 비교 의식 만들어야 결과 생각 행복 사회 시스템 서양인 퇴근 옆집 친구 바베큐 구어 먹고살기 취미 생활 행복 옆집 친구 비교 사는게 세상 사는게 비교 사는게 생각 사는게 서로 개성 존중 성공 사람 패배자 비교 똑같 자 놈 취급 눈치보 바쁘 비교 행복 비교 비교 때문에 서로 서로 고통 만들어야 사는게 뿌리	23
24	남자 배 자궁 치열 출산 닦달 개선 없다	24
25	동양인 남자 애낳기 싫다 집값 남자 핑계	25
26	그렇 여자 인 애낳기 남자 애낳기 문제지 일당	26
